Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,Male,Bachelor's,Software Engineer,5.0,90000
28,Female,Master's,Data Analyst,3.0,65000
45,Male,PhD,Senior Manager,15.0,150000
36,Female,Bachelor's,Sales Associate,7.0,60000
52,Male,Master's,Director,20.0,200000
29,Male,Bachelor's,Marketing Analyst,2.0,55000
42,Female,Master's,Product Manager,12.0,120000
31,Male,Bachelor's,Sales Manager,4.0,80000
26,Female,Bachelor's,Marketing Coordinator,1.0,45000
38,Male,PhD,Senior Scientist,10.0,110000
29,Male,Master's,Software Developer,3.0,75000
48,Female,Bachelor's,HR Manager,18.0,140000
35,Male,Bachelor's,Financial Analyst,6.0,65000
40,Female,Master's,Project Manager,14.0,130000
27,Male,Bachelor's,Customer Service Rep,2.0,40000
44,Male,Bachelor's,Operations Manager,16.0,125000
33,Female,Master's,Marketing Manager,7.0,90000
39,Male,PhD,Senior Engineer,12.0,115000
25,Female,Bachelor's,Data Entry Clerk,0.0,35000
51,Male,Bachelor's,Sales Director,22.0,180000
34,Female,Master's,Business Analyst,5.0,80000
47,Male,Master's,VP of Operations,19.0,190000
30,Male,Bachelor's,IT Support,2.0,50000
36,Female,Bachelor's,Recruiter,9.0,60000
41,Male,Master's,Financial Manager,13.0,140000
28,Female,Bachelor's,Social Media Specialist,3.0,45000
37,Female,Master's,Software Manager,11.0,110000
24,Male,Bachelor's,Junior Developer,1.0,40000
43,Female,PhD,Senior Consultant,15.0,140000
33,Male,Master's,Product Designer,6.0,90000
50,Male,Bachelor's,CEO,25.0,250000
31,Female,Bachelor's,Accountant,4.0,55000
29,Male,Master's,Data Scientist,3.0,75000
39,Female,Bachelor's,Marketing Specialist,10.0,65000
46,Male,PhD,Senior Manager,20.0,170000
27,Male,Bachelor's,Technical Writer,2.0,45000
35,Female,Bachelor's,HR Generalist,7.0,60000
42,Male,Master's,Project Engineer,14.0,115000
26,Female,Bachelor's,Customer Success Rep,1.0,40000
49,Male,Bachelor's,Sales Executive,21.0,160000
34,Female,Master's,UX Designer,5.0,80000
48,Male,Master's,Operations Director,18.0,190000
